,Area,Perimeter,Convexity,Circularity,X_start,Y_start,Width,Height,Segmented_label
62,4123.0,260.1076453924179,False,0.7658028238695915,52,97,84,69,0
63,3017.5,211.0365778207779,False,0.8514157335266158,54,99,68,63,0
64,2057.0,173.68123948574066,False,0.8569161661091659,59,105,56,51,0
65,1029.0,124.22539532184601,False,0.8379236798825243,66,110,40,37,0
66,497.0,84.08326053619385,False,0.8833791902586077,75,116,26,27,0
67,1631.5,152.1248903274536,False,0.8859238344200908,63,105,41,52,0
68,5703.5,374.0904004573822,False,0.5121511852278551,49,83,122,83,0
69,5521.5,328.63455641269684,False,0.6424517021534082,51,83,120,80,0
70,5010.5,323.8061294555664,False,0.6005107684339889,52,84,116,75,0
71,4585.5,328.14927554130554,False,0.535123054857631,56,86,113,66,0
72,3823.0,293.0782072544098,False,0.5593029492554907,59,89,105,58,0
73,2508.0,234.5096663236618,False,0.5730808530947852,64,94,92,45,0
74,910.0,120.22539508342743,False,0.7911499965032264,74,96,43,32,0
75,120.0,61.455843687057495,False,0.3992682163664599,44,96,10,28,0
76,491.0,113.74011421203613,False,0.4769403171062114,44,86,19,49,0
77,1053.0,163.68123972415924,False,0.49390158939493073,42,81,36,62,0
78,898.0,113.39696788787842,False,0.8775731281454012,69,110,33,38,0
79,1815.5,239.86500549316406,False,0.3965266059513245,42,76,54,76,0
80,2757.5,279.17871284484863,False,0.4445911198130791,41,73,61,86,0
81,144.5,56.38477599620819,False,0.5711550121381247,116,79,26,8,0
82,4713.0,393.84775960445404,False,0.3818128539771561,40,72,110,97,0
83,5598.5,495.5462431907654,False,0.28649244281105707,38,71,133,100,0
84,7178.0,474.8183215856552,False,0.40009063048790866,36,69,148,103,0
85,7713.0,456.6173130273819,False,0.4648667105801113,36,68,144,101,0
86,7544.5,444.7178168296814,False,0.4793704606741015,38,67,145,93,0
87,7679.5,445.40410792827606,False,0.48644570408459914,39,67,151,88,0
88,9268.5,480.5168068408966,False,0.504431447192599,41,68,165,80,0
89,310.5,69.0121922492981,False,0.8192563600591325,75,119,23,22,0
90,8450.0,429.50461316108704,False,0.5756134156738538,44,68,156,76,0
91,5485.0,320.93607223033905,False,0.6691899800200364,50,69,118,70,0
92,3407.5,269.52185904979706,False,0.5894646169914546,57,71,98,62,0
93,1005.0,121.05382335186005,False,0.8618246355058053,63,87,35,41,0
94,259.5,60.52691113948822,False,0.890123370658708,73,97,19,20,0
95,32.0,24.14213538169861,False,0.6899354819330197,38,127,6,11,0
96,267.0,102.28427076339722,False,0.3207032927521282,38,112,9,48,0
97,925.0,159.1959582567215,False,0.45865646746993866,37,103,25,69,0
98,144.0,68.97056245803833,False,0.38040377731975306,110,96,33,7,0
99,569.0,120.08326005935669,False,0.4958578475867083,107,90,53,18,0
100,8174.0,417.1614673137665,False,0.5902501752095247,36,73,130,100,0
101,5655.0,619.1269778013229,False,0.185388596497251,38,86,132,102,0
102,7531.0,433.16146755218506,False,0.5043858318173338,38,85,134,103,0
103,8560.0,450.96045780181885,False,0.5289403561474613,38,84,145,104,0
104,9046.0,468.2741652727127,False,0.518401262671611,40,83,150,104,0
105,10805.5,533.1442252397537,False,0.47771107812761854,42,81,167,101,0
106,10441.5,505.6295043230057,False,0.5132251628581236,43,82,167,98,0
107,8589.0,496.07315492630005,False,0.43859231250305175,43,84,163,89,0
108,5179.0,307.22034227848053,False,0.6895342416068974,45,88,103,82,0
109,3286.5,215.2375886440277,False,0.8914710921919716,47,98,64,67,0
110,2424.5,191.58073341846466,False,0.8300961305947315,52,104,55,59,0
111,286.0,75.94112479686737,False,0.6231919667061554,56,115,15,32,0
112,6563.5,349.60511887073517,False,0.6748228626228842,37,72,107,97,0
113,1433.0,147.19595742225647,False,0.8311210634270713,59,110,45,44,0
114,414.5,77.01219248771667,False,0.8782444694584857,69,119,26,23,0
115,20.0,17.313708305358887,True,0.8384162108653561,66,121,5,8,0
116,125.5,47.2132031917572,False,0.7075003472258946,64,117,10,20,0
117,241.0,63.11269760131836,False,0.7603147567843307,61,116,15,25,0
118,362.0,75.5979791879654,False,0.7959724962172843,59,114,18,30,0
119,527.5,95.15432751178741,False,0.7321081463752624,58,109,23,38,0
120,694.5,111.63961040973663,False,0.7002377009760596,57,104,25,46,0
121,933.0,136.36753046512604,False,0.630477447504663,56,97,29,56,0
122,1142.0,150.02438461780548,False,0.6376058013483876,54,95,32,61,0
123,4050.0,254.10764455795288,False,0.7881872879050029,38,85,78,76,0
124,1323.0,162.16652059555054,False,0.6321895472053197,52,96,38,65,0
125,1558.5,189.3797243833542,False,0.5460717507691393,50,91,42,74,0
126,1924.5,240.14927411079407,False,0.41933896886266303,49,84,47,87,0
127,2541.0,269.2203435897827,False,0.4405536266424603,49,82,55,92,0
128,3222.5,301.80612874031067,False,0.4445766824077686,50,82,59,93,0
129,4222.0,303.56348836421967,False,0.5757434731565212,49,83,69,94,0
130,4407.5,320.97770285606384,False,0.5375915772689375,50,83,75,93,0
131,5177.0,312.048770070076,False,0.66810247202817,50,85,82,91,0
132,5044.5,289.0365767478943,False,0.7587913658521132,52,87,82,86,0
133,4835.0,292.1076456308365,False,0.7120664005976176,51,88,94,79,0
134,3089.5,220.2081516981125,False,0.8006289323245434,41,93,68,64,0
135,3975.5,271.86500465869904,False,0.6759195485272549,54,91,88,69,0
136,2666.5,205.23758780956268,False,0.7954953560840811,56,93,66,58,0
137,1569.5,151.2964632511139,False,0.8616157560694317,60,96,43,49,0
138,638.0,96.0832599401474,False,0.8684305317692089,67,101,28,32,0
139,26.0,20.14213526248932,False,0.8053268812619706,71,115,6,9,0
140,156.5,50.87005686759949,False,0.7599757937639074,67,111,13,20,0
141,253.0,63.11269760131836,False,0.798172752972762,65,111,16,24,0
142,406.5,82.66904616355896,False,0.7474541550153454,63,107,21,32,0
143,490.0,91.74011421203613,False,0.7316230693913522,61,106,25,34,0
144,631.5,104.32590079307556,False,0.7291198675681372,60,105,27,37,0
145,1816.5,166.06601536273956,False,0.8277205465019868,46,98,54,51,0
146,794.5,119.15432739257812,False,0.7032085242841801,58,102,30,43,0
147,1107.5,143.29646289348602,False,0.6777704933607682,57,96,33,53,0
148,1309.0,157.19595777988434,False,0.6656819209402342,56,94,34,59,0
149,1543.0,176.65180134773254,False,0.6213547881517432,54,92,39,68,0
150,1919.0,217.2792192697525,False,0.5107971372144582,52,89,44,74,0
151,2318.0,232.93607258796692,False,0.536846094581239,51,87,53,80,0
152,2847.5,266.0071396827698,False,0.5056930792993695,50,85,60,82,0
153,69.5,34.041630148887634,False,0.7536574051887981,110,123,14,10,0
154,4265.5,300.149276137352,False,0.5949838939868562,50,81,75,88,0
155,4229.0,286.24978029727936,False,0.648570550891679,51,81,74,84,0
156,646.5,98.32590079307556,False,0.8403157926705372,54,106,30,31,0
157,4194.5,293.80612897872925,False,0.6106162536417934,52,83,78,77,0
158,3796.0,267.0782080888748,False,0.668742863185843,55,84,80,70,0
159,3293.5,248.20815062522888,False,0.6717929693197722,58,87,78,58,0
160,2717.0,226.30865621566772,False,0.6666489059438844,63,88,79,48,0
161,841.5,111.49747347831726,False,0.8506167520943857,69,92,33,35,0
162,48.0,30.14213538169861,False,0.6639006122701236,67,120,6,14,0
163,158.5,56.041630029678345,False,0.6341874057248225,64,116,10,24,0
164,293.0,76.2842708826065,False,0.6327140596315284,63,113,12,34,0
165,408.5,92.18376553058624,False,0.6040780236507365,61,110,15,41,0
166,849.0,144.3675308227539,False,0.5118921823462906,57,107,27,59,0
167,40.0,26.14213526248932,False,0.7355085752699619,65,124,6,12,0
168,1234.5,168.4091614484787,False,0.5469775876026111,55,106,34,63,0
169,1636.0,177.33809292316437,False,0.653715971579271,54,104,39,67,0
170,2121.0,210.45079135894775,False,0.6017961516607284,53,101,50,73,0
171,2486.0,214.45079123973846,False,0.6792907212776889,51,101,56,74,0
172,2690.5,220.06601548194885,False,0.6981309631522685,52,103,56,75,0
173,2652.5,273.17871165275574,False,0.4466543331454198,52,105,74,72,0
174,4590.5,381.74725449085236,False,0.39583848076591927,51,93,88,83,0
175,4976.0,317.5634882450104,False,0.6200534213109186,51,93,94,81,0
176,5056.0,313.9066344499588,False,0.6447865059160123,52,93,100,77,0
177,5142.5,343.4629851579666,False,0.5478028456953061,54,96,118,69,0
178,79.0,38.97056221961975,False,0.6536776146463902,65,122,7,18,0
179,4010.5,291.8650048971176,False,0.591622025190404,58,99,100,61,0
180,1946.0,171.82337486743927,False,0.8283010463950224,64,104,59,50,0
181,638.0,102.56854128837585,False,0.7620828433627217,73,112,33,30,0
182,294.5,69.35533857345581,False,0.7693702177389481,60,102,17,26,0
183,741.0,110.56854164600372,False,0.7616665954428616,54,97,28,41,0
184,1183.0,144.02438580989838,False,0.7166754782771587,52,92,34,56,0
185,1531.0,158.16652119159698,False,0.7690523959517467,51,92,40,60,0
186,1802.0,173.33809328079224,False,0.7536620037292588,50,92,43,63,0
187,2152.5,184.40916061401367,False,0.7954044970469732,49,91,47,67,0
188,2398.5,194.55129647254944,False,0.7963084574694614,48,90,52,71,0
189,197.5,60.18376541137695,False,0.6852014163481694,64,118,15,25,0
190,2592.0,201.9655088186264,False,0.7985285444655256,48,91,54,72,0
191,3157.5,302.4335466623306,False,0.43380374632091073,47,76,76,91,0
192,3431.0,293.2203440666199,False,0.5014670292509923,47,78,70,92,0
193,4120.5,377.06096267700195,False,0.3641972301543971,48,71,107,102,0
194,4813.5,385.06096386909485,False,0.40795461735376576,48,70,113,105,0
195,5143.5,400.85995411872864,False,0.40223815440803184,48,71,119,106,0
196,5797.5,415.6883796453476,False,0.42161383440942,47,71,126,108,0
197,6245.5,417.20309805870056,False,0.4509018604445799,48,72,127,109,0
198,6550.5,419.3452330827713,False,0.4681024281805628,48,73,130,109,0
199,6814.0,397.6467479467392,False,0.5415232694869608,49,75,131,107,0
200,236.0,66.42640590667725,False,0.672109999919893,63,120,17,27,0
201,7057.0,415.4457380771637,False,0.5138085955859282,49,76,132,107,0
202,7176.5,388.23253548145294,False,0.5983271316396556,49,79,132,104,0
203,6948.0,374.81832253932953,False,0.6214812755236638,52,80,127,99,0
204,6722.5,359.7472554445267,False,0.6527482200607411,53,82,124,95,0
205,6385.0,365.84775936603546,False,0.5994734680656566,54,84,121,89,0
206,5998.0,333.22034299373627,False,0.6788179397244423,56,85,111,83,0
207,5232.0,319.56348872184753,False,0.6438182626640173,57,87,115,74,0
208,3977.5,263.5218600034714,False,0.7197584263499294,61,88,89,70,0
209,1967.0,172.1665199995041,False,0.8339054681055991,68,96,52,53,0
210,1123.0,129.53910374641418,False,0.8409842151965611,74,98,35,45,0
211,368.5,86.32590019702911,False,0.6213912371909279,62,112,19,36,0
212,475.0,82.76955199241638,False,0.8712890672967594,82,108,24,27,0
213,428.5,87.8406195640564,False,0.6978625767047435,52,99,23,32,0
214,951.5,128.95331692695618,False,0.71904094520278,49,88,30,49,0
215,1288.0,142.02438497543335,False,0.8024165776697298,47,88,36,54,0
216,1651.0,162.99494886398315,False,0.7809237753924659,44,87,43,61,0
217,2059.5,182.4091614484787,False,0.7778186758782845,43,86,47,65,0
218,2310.5,190.06601440906525,False,0.803723933654418,43,86,50,68,0
219,2660.5,205.03657817840576,False,0.7952623762843164,42,85,56,73,0
220,2850.5,212.208150267601,False,0.7954388339004382,42,85,56,76,0
221,3193.0,258.24978041648865,False,0.6016291365435248,43,78,62,86,0
222,447.5,94.32590174674988,False,0.6320347722790912,55,110,20,40,0
223,137.5,58.38477599620819,False,0.5068895355999051,93,99,27,8,0
224,3534.5,280.49242067337036,False,0.5645411311501367,43,76,69,91,0
225,4241.5,384.5756812095642,False,0.36038416434410014,43,67,112,101,0
226,4908.0,391.30360221862793,False,0.4027974627891619,43,67,118,105,0
227,5347.5,399.5462441444397,False,0.42094616011162217,43,67,122,106,0
228,5843.5,392.2325370311737,False,0.4773046642282729,44,67,125,109,0
229,6162.0,417.4457383155823,False,0.4443564562069828,42,66,130,109,0
230,6532.5,433.00208711624146,False,0.4378338178606288,44,68,129,113,0
231,6848.5,410.3746713399887,False,0.5110274491197232,44,69,130,108,0
232,7020.5,407.8893908262253,False,0.5302651540161303,45,72,130,106,0
233,7110.0,409.303603887558,False,0.5333205613607144,46,73,130,106,0
234,1129.5,225.86500477790833,False,0.2782263158339255,60,94,63,58,0
235,6983.0,412.1320300102234,False,0.516629462398825,46,74,130,102,0
236,6616.0,398.47517704963684,False,0.5236038317047169,47,76,128,96,0
237,6248.0,375.16147005558014,False,0.5578461331160126,49,80,124,88,0
238,5905.5,346.43354654312134,False,0.6183390269065946,51,79,116,84,0
239,5485.5,330.9777035713196,False,0.6292577987214741,55,83,111,75,0
240,3144.5,241.3797242641449,False,0.6782032855663291,59,89,76,61,0
241,1125.0,127.88224923610687,False,0.8644539321087618,68,96,38,41,0
242,588.0,94.08326005935669,False,0.8347616230927287,74,99,26,33,0
243,165.0,65.4558435678482,False,0.4839460614632982,49,112,11,29,0
244,390.0,95.59797883033752,False,0.5362620330752038,49,106,15,42,0
245,1799.0,261.4213533401489,False,0.3307949799175377,60,92,68,64,0
246,776.5,130.81118178367615,False,0.5702451308565539,49,95,23,55,0
247,889.5,142.46803605556488,False,0.5507074369548227,49,92,24,61,0
248,1154.0,158.36753022670746,False,0.5782070532657704,49,90,29,66,0
249,1412.0,165.68123865127563,False,0.6463948613639795,50,91,33,69,0
250,1789.5,190.06601464748383,False,0.622490359517969,50,87,40,78,0
251,1871.5,196.2081503868103,False,0.6108936458598975,50,89,46,79,0
252,2119.5,246.4924213886261,False,0.4383652734482333,50,77,51,95,0
253,2632.5,303.94826459884644,False,0.3580790458864078,51,72,60,104,0
254,3421.0,372.13203048706055,False,0.3104336798186733,52,70,71,109,0
255,4302.5,392.8599531650543,False,0.3503121674096567,53,69,76,111,0
256,2489.0,308.87719690799713,False,0.32784084911905703,60,91,72,71,0
257,5519.5,426.0315247774124,False,0.3821431935901658,54,70,82,109,0
258,5594.0,350.53405153751373,False,0.5720999383780611,57,70,74,107,0
259,5964.0,359.0193314552307,False,0.5814492719614089,57,72,86,107,0
260,5876.0,329.7056233882904,False,0.6792645380903962,57,71,80,105,0
261,5689.5,319.6051194667816,False,0.6999330667251581,58,72,83,103,0
262,4947.0,285.2203426361084,False,0.7641714003052908,60,74,78,95,0
263,4089.0,254.93607318401337,False,0.79061379987454,62,81,67,83,0
264,3012.5,216.5512968301773,False,0.8072635470902936,65,84,54,77,0
265,1913.5,168.75230705738068,False,0.8443818562532508,68,92,47,58,0
266,830.0,110.91168737411499,False,0.8478779308253982,79,100,30,38,0
267,3235.0,280.73506295681,False,0.5158112771498092,60,91,77,79,0
268,234.0,68.28427076339722,False,0.6306441477508236,50,116,12,30,0
269,528.5,103.84061932563782,False,0.6159143409259632,50,105,18,45,0
270,839.0,129.74011433124542,False,0.6263589281142925,50,98,22,56,0
271,1042.5,150.12489068508148,False,0.5812734935777703,50,93,28,64,0
272,1295.0,164.02438509464264,False,0.6048710454772619,50,90,32,69,0
273,1607.5,177.23758971691132,False,0.6430565628937801,50,89,38,74,0
274,1923.0,199.96551132202148,False,0.604336677044777,50,86,43,81,0
275,1937.5,203.03657734394073,False,0.5906130077109427,50,93,51,77,0
276,2424.0,276.0487707853317,False,0.3997337743671123,50,74,59,100,0
277,5538.5,343.60511910915375,False,0.5894985934680356,50,67,88,101,0
278,3603.5,282.00713992118835,False,0.5693956990521303,60,92,77,81,0
279,5605.0,349.5634882450104,False,0.5764124492185418,50,68,87,96,0
280,5535.0,319.56348872184753,False,0.6811036092976559,52,68,90,93,0
281,5491.0,314.39191687107086,False,0.6981014891885539,55,70,92,89,0
282,5094.0,306.59292709827423,False,0.6809959689331803,56,72,91,82,0
283,3762.5,239.52185893058777,False,0.8241306487041302,57,74,73,73,0
284,2589.0,192.8528130054474,False,0.8747620999498972,62,80,55,61,0
285,1534.5,151.4385987520218,False,0.8408210811248051,66,84,46,48,0
286,645.0,97.25483334064484,False,0.8569336376041463,76,92,29,30,0
287,188.5,66.52691149711609,False,0.5352128043275486,53,118,12,29,0
288,411.0,119.05382347106934,False,0.36438877563191774,53,103,26,46,0
289,3877.5,289.6639930009842,False,0.5807278369903999,61,90,76,83,0
290,560.5,130.4680358171463,False,0.4137873719123344,52,102,30,51,0
291,817.5,160.9533166885376,False,0.3965498267986248,52,100,43,55,0
292,1090.5,183.43859887123108,False,0.40724342835065935,51,99,50,60,0
293,1501.5,264.69343066215515,False,0.2693077645176025,50,93,81,69,0
294,2272.0,315.3624783754349,False,0.28707683603114076,49,95,93,71,0
295,2612.5,349.5462441444397,False,0.2686933283864635,48,97,99,72,0
296,3165.0,348.81832098960876,False,0.32687748192351035,49,97,100,75,0
297,3689.0,309.7056246995926,False,0.48330393771841107,48,97,103,76,0
298,4346.0,309.2203426361084,False,0.5711674792329158,49,97,106,76,0
299,4546.5,311.4629831314087,False,0.5889442441481968,49,97,106,76,0
300,4231.0,265.6223658323288,False,0.7535700132575357,62,92,76,81,0
301,4608.0,314.04877030849457,False,0.5871217105694885,50,95,106,78,0
302,4591.5,317.8061292171478,False,0.57126802331789,50,96,106,75,0
303,4525.0,318.39191591739655,False,0.5609244656951529,50,99,113,72,0
304,4377.0,301.563489317894,False,0.6048238259253297,51,100,106,69,0
305,4089.5,298.0071396827698,False,0.5786643646215059,50,103,108,60,0
306,3289.0,244.30865514278412,False,0.692462136611764,53,102,85,57,0
307,2642.0,215.48022890090942,False,0.7150358568253099,56,103,77,52,0
308,1702.0,157.88224947452545,False,0.8580306639294365,60,107,51,44,0
309,685.0,102.08326005935669,False,0.8260215422645338,67,112,33,30,0
310,105.5,51.69848430156708,False,0.49602858249722087,62,106,10,22,0
311,4332.5,268.55129635334015,False,0.7549078285427593,62,94,80,79,0
312,181.5,80.32590103149414,False,0.35348849368983076,62,99,19,32,0
313,228.5,84.32590055465698,False,0.4038072319158323,62,100,19,33,0
314,228.0,71.94112491607666,False,0.55359258213174,62,104,13,30,0
315,383.0,111.05382287502289,False,0.3902488318363733,61,96,30,40,0
316,564.0,139.0538227558136,False,0.3665414577519834,61,95,43,42,0
317,697.0,146.36753118038177,False,0.4088397810664529,61,94,46,45,0
318,832.5,151.78174471855164,False,0.4541036835762966,61,94,47,46,0
319,973.5,161.43859887123108,False,0.4693870034797109,61,94,49,48,0
320,1214.0,184.99494779109955,False,0.44576792391943937,61,92,57,52,0
321,1687.0,244.9360727071762,False,0.353361676225941,60,88,83,58,0
322,3831.5,281.0365788936615,False,0.6096112790870191,63,98,83,71,0
323,2070.5,237.8650051355362,False,0.45985826114826545,60,89,85,59,0
324,2378.0,250.59292781352997,False,0.4758653619170759,59,89,89,61,0
325,2640.5,260.6934336423874,False,0.48824280418341265,59,89,93,63,0
326,2859.0,262.9360727071762,False,0.5196652488775483,59,88,88,65,0
327,2925.5,274.6934314966202,False,0.4872068852845925,61,89,91,65,0
328,3237.5,292.49242186546326,False,0.4755436688846258,58,88,97,66,0
329,3509.0,274.24978053569794,False,0.5862740273231115,56,88,97,66,0
330,3583.5,279.3208478689194,False,0.577179063944032,57,88,97,67,0
331,3634.5,281.66399466991425,False,0.5756942192320166,57,89,100,65,0
332,3633.0,282.9360741376877,False,0.5702937544704895,56,88,100,65,0
333,652.0,146.02438521385193,False,0.38424363914378984,54,94,28,57,0
334,2484.0,200.16652059555054,False,0.7790737568165528,65,104,57,61,0
335,3552.5,286.0071393251419,False,0.545745548949592,58,89,100,62,0
336,3553.0,262.5929262638092,False,0.6474988862985125,57,88,100,61,0
337,3293.5,281.66399574279785,False,0.5216808079780446,58,89,102,57,0
338,3215.0,289.9066356420517,False,0.48070045068409817,59,89,103,52,0
339,2977.0,276.10764479637146,False,0.49071782733448377,61,89,99,49,0
340,2858.0,258.4507919549942,False,0.5376706794023202,64,88,94,47,0
341,2414.0,228.6518017053604,False,0.5802269197409107,66,90,88,41,0
342,1862.0,196.16652047634125,False,0.6080506583775307,70,91,77,37,0
343,327.0,72.91168677806854,False,0.7729712225315551,76,102,25,23,0
344,229.0,79.11269783973694,False,0.4597830500159793,49,103,11,36,0
345,1651.0,153.05382251739502,False,0.8856631518143055,68,108,40,52,0
346,714.0,127.74011373519897,False,0.5498617105761834,48,99,21,54,0
347,1595.5,170.95331704616547,False,0.6860434285641285,45,96,39,63,0
348,2416.0,208.65180134773254,False,0.6973688060452659,45,94,47,76,0
349,2942.5,237.66399443149567,False,0.6546354978946829,46,92,60,84,0
350,4404.0,288.53405034542084,False,0.6647571692225019,43,88,79,91,0
351,6300.0,521.8721451759338,False,0.2906847038350241,46,69,104,111,0
352,7140.0,408.81832134723663,False,0.5368430987641917,47,69,105,112,0
353,7746.5,377.60512042045593,False,0.6827153061237576,48,68,115,112,0
354,8853.0,410.47517573833466,False,0.6602775532835012,46,68,121,115,0
355,8675.0,402.81832206249237,False,0.6718323549831822,47,70,127,110,0
356,1052.5,122.6690468788147,False,0.8789455805012363,72,112,32,41,0
357,8258.5,389.2619742155075,False,0.6848998566346802,49,73,123,102,0
358,7495.5,373.06096374988556,False,0.6767852060967643,46,76,123,94,0
359,5866.0,323.3624782562256,False,0.7049733072799054,49,76,107,86,0
360,3708.0,246.59292685985565,False,0.7662815318654282,54,80,78,75,0
361,2654.5,197.58073365688324,False,0.8544829595361054,61,84,60,61,0
362,1249.0,144.36753141880035,False,0.7530663492004174,71,87,40,50,0
363,159.0,59.455843567848206,False,0.565220490623748,50,113,10,27,0
364,636.5,115.1543276309967,False,0.6031811267872572,49,102,22,48,0
365,1211.5,150.61017107963562,False,0.67115785720245,48,100,35,59,0
366,2006.5,202.89444148540497,False,0.6125037185034256,48,97,45,71,0
367,358.0,73.59797871112823,False,0.8305410766417071,78,117,22,25,0
368,2688.5,221.17871367931366,False,0.6906106142045955,46,94,57,77,0
369,3038.5,266.3502860069275,False,0.538223640904121,47,88,72,84,0
370,4974.5,345.7472542524338,False,0.522927907190507,48,75,86,100,0
371,5663.5,358.57568073272705,False,0.553519729974688,47,75,96,100,0
372,6248.5,351.9482641220093,False,0.6339105550601085,48,74,100,103,0
373,6764.0,349.22034335136414,False,0.696970494267286,48,75,107,102,0
374,6966.0,368.0487712621689,False,0.6462232658834218,49,75,116,101,0
375,6768.0,362.5340509414673,False,0.6471017977398125,51,77,116,96,0
376,6648.0,354.87719643116,False,0.6633529850532575,53,79,114,90,0
377,5725.5,331.6051182746887,False,0.6543058942698156,54,80,109,83,0
378,5662.5,352.63455760478973,False,0.5722269906782237,49,83,108,82,0
379,3780.0,263.0782080888748,False,0.6863283107247784,57,85,87,71,0
380,2176.0,178.99494767189026,False,0.8534679358033536,61,90,53,59,0
381,998.0,122.36753177642822,False,0.8375447197687199,67,99,37,42,0
382,59.0,39.455843687057495,False,0.4762546257784707,66,99,7,17,0
383,139.5,64.87005710601807,False,0.4165772139809935,65,94,11,29,0
384,251.5,84.18376588821411,False,0.44595511972118546,65,91,14,37,0
385,435.0,102.08326005935669,False,0.5245538261095944,63,90,18,43,0
386,525.0,117.740114569664,False,0.4759049908227211,62,88,22,50,0
387,200.0,67.45584332942963,False,0.5523326384474148,88,92,30,11,0
388,730.5,133.15432786941528,False,0.5177492885998909,61,87,24,56,0
389,923.5,146.46803617477417,False,0.5409548844588752,60,86,26,61,0
